Store,Dept,Date,Weekly_Sales,IsHoliday
45,1,05/02/2010,18628.11,FALSE
45,1,12/02/2010,22416.94,TRUE
45,1,19/02/2010,28756.53,FALSE
45,1,26/02/2010,14656.08,FALSE
45,1,05/03/2010,16608.87,FALSE
45,1,12/03/2010,17621.39,FALSE
45,1,19/03/2010,18932.34,FALSE
45,1,26/03/2010,25610.76,FALSE
45,1,02/04/2010,66437.66,FALSE
45,1,09/04/2010,42591.72,FALSE
45,1,16/04/2010,14622.96,FALSE
45,1,23/04/2010,11327.93,FALSE
45,1,30/04/2010,11692.26,FALSE
45,1,07/05/2010,11023.12,FALSE
45,1,14/05/2010,12908.53,FALSE
45,1,21/05/2010,12319.7,FALSE
45,1,28/05/2010,12037.59,FALSE
45,1,04/06/2010,11172.5,FALSE
45,1,11/06/2010,11840.08,FALSE
45,1,18/06/2010,12950.45,FALSE
45,1,25/06/2010,12447.81,FALSE
45,1,02/07/2010,12553.02,FALSE
45,1,09/07/2010,11007.81,FALSE
45,1,16/07/2010,12629.27,FALSE
45,1,23/07/2010,12448.3,FALSE
45,1,30/07/2010,11631.36,FALSE
45,1,06/08/2010,11089.67,FALSE
45,1,13/08/2010,11294.53,FALSE
45,1,20/08/2010,10256.36,FALSE
45,1,27/08/2010,11856.89,FALSE
45,1,03/09/2010,11145.88,FALSE
45,1,10/09/2010,11730.76,TRUE
45,1,17/09/2010,13757.07,FALSE
45,1,24/09/2010,12977.57,FALSE
45,1,01/10/2010,15075.55,FALSE
45,1,08/10/2010,16505.87,FALSE
45,1,15/10/2010,17750.01,FALSE
45,1,22/10/2010,22929.36,FALSE
45,1,29/10/2010,38600.89,FALSE
45,1,05/11/2010,37460.6,FALSE
45,1,12/11/2010,12145.54,FALSE
45,1,19/11/2010,12282.29,FALSE
45,1,26/11/2010,13407.99,TRUE
45,1,03/12/2010,18325.85,FALSE
45,1,10/12/2010,27027.17,FALSE
45,1,17/12/2010,39218.82,FALSE
45,1,24/12/2010,54051.13,FALSE
45,1,31/12/2010,11769.12,TRUE
45,1,07/01/2011,10641.2,FALSE
45,1,14/01/2011,11518.43,FALSE
45,1,21/01/2011,12193.51,FALSE
45,1,28/01/2011,12774.72,FALSE
45,1,04/02/2011,15339.62,FALSE
45,1,11/02/2011,22469.46,TRUE
45,1,18/02/2011,35065.76,FALSE
45,1,25/02/2011,13886.57,FALSE
45,1,04/03/2011,12742.8,FALSE
45,1,11/03/2011,12294.99,FALSE
45,1,18/03/2011,14587.49,FALSE
45,1,25/03/2011,16190.45,FALSE
45,1,01/04/2011,15734.83,FALSE
45,1,08/04/2011,21535.31,FALSE
45,1,15/04/2011,27964.64,FALSE
45,1,22/04/2011,64121.38,FALSE
45,1,29/04/2011,38570.3,FALSE
45,1,06/05/2011,13580.23,FALSE
45,1,13/05/2011,11459.58,FALSE
45,1,20/05/2011,11292.82,FALSE
45,1,27/05/2011,10632.88,FALSE
45,1,03/06/2011,11142.7,FALSE
45,1,10/06/2011,10312.84,FALSE
45,1,17/06/2011,11742,FALSE
45,1,24/06/2011,11570.03,FALSE
45,1,01/07/2011,10796.27,FALSE
45,1,08/07/2011,11346.06,FALSE
45,1,15/07/2011,12773.75,FALSE
45,1,22/07/2011,11090.63,FALSE
45,1,29/07/2011,12019.61,FALSE
45,1,05/08/2011,11745.45,FALSE
45,1,12/08/2011,11060.92,FALSE
45,1,19/08/2011,11096.27,FALSE
45,1,26/08/2011,12543.74,FALSE
45,1,02/09/2011,11142.98,FALSE
45,1,09/09/2011,11402.12,TRUE
45,1,16/09/2011,13072.55,FALSE
45,1,23/09/2011,13593.38,FALSE
45,1,30/09/2011,14680.07,FALSE
45,1,07/10/2011,15076.51,FALSE
45,1,14/10/2011,16709.34,FALSE
45,1,21/10/2011,20667.38,FALSE
45,1,28/10/2011,30818.55,FALSE
45,1,04/11/2011,39800.19,FALSE
45,1,11/11/2011,11872.75,FALSE
45,1,18/11/2011,13489.69,FALSE
45,1,25/11/2011,14595.1,TRUE
45,1,02/12/2011,18324.66,FALSE
45,1,09/12/2011,23323.18,FALSE
45,1,16/12/2011,37983.83,FALSE
45,1,23/12/2011,53942.21,FALSE
45,1,30/12/2011,20642.48,TRUE
45,1,06/01/2012,11431.14,FALSE
45,1,13/01/2012,11048.79,FALSE
45,1,20/01/2012,13082.52,FALSE
45,1,27/01/2012,12871.85,FALSE
45,1,03/02/2012,15721.57,FALSE
45,1,10/02/2012,21345.08,TRUE
45,1,17/02/2012,41776.39,FALSE
45,1,24/02/2012,14985.9,FALSE
45,1,02/03/2012,15913.58,FALSE
45,1,09/03/2012,15775.75,FALSE
45,1,16/03/2012,18776.86,FALSE
45,1,23/03/2012,20051.52,FALSE
45,1,30/03/2012,28368.52,FALSE
45,1,06/04/2012,68621.57,FALSE
45,1,13/04/2012,36715.43,FALSE
45,1,20/04/2012,11917.68,FALSE
45,1,27/04/2012,12040.92,FALSE
45,1,04/05/2012,12361.24,FALSE
45,1,11/05/2012,11259.35,FALSE
45,1,18/05/2012,12413.93,FALSE
45,1,25/05/2012,12487.46,FALSE
45,1,01/06/2012,10629.59,FALSE
45,1,08/06/2012,12851.96,FALSE
45,1,15/06/2012,11931.65,FALSE
45,1,22/06/2012,11298.94,FALSE
45,1,29/06/2012,11001.03,FALSE
45,1,06/07/2012,11281.21,FALSE
45,1,13/07/2012,10363,FALSE
45,1,20/07/2012,11000.62,FALSE
45,1,27/07/2012,11628.65,FALSE
45,1,03/08/2012,11285.1,FALSE
45,1,10/08/2012,10985.3,FALSE
45,1,17/08/2012,11091.88,FALSE
45,1,24/08/2012,11468.84,FALSE
45,1,31/08/2012,10898.15,FALSE
45,1,07/09/2012,11797.22,TRUE
45,1,14/09/2012,12747.42,FALSE
45,1,21/09/2012,13114.39,FALSE
45,1,28/09/2012,13153.22,FALSE
45,1,05/10/2012,15309.43,FALSE
45,1,12/10/2012,16109.15,FALSE
45,1,19/10/2012,19128.81,FALSE
45,1,26/10/2012,27117.16,FALSE
